X_coord,Ycoord,species,Circ_cm,notes
5.3,2.3,Eucalyptus cullenii,95,
4.5,12.9,Terminalia aridicola subsp. chillagoensis,40,
9.1,9.6,Eucalyptus cullenii,104,
18.4,6.8,Melaleuca stenostachya,48,
19.6,11.7,Eucalyptus cullenii,91.2,
16.3,9.7,Eucalyptus cullenii,72,
18.3,21.3,Eucalyptus cullenii,100,
15.9,17.7,Eucalyptus cullenii,47,broken off at 4m resprouting from high up
26.2,11.6,Eucalyptus cullenii,64,
27.8,13.1,Eucalyptus cullenii,58,
26,15.4,Melaleuca stenostachya,32,
24.5,19.4,Gardenia vilhelmii,46,
36.8,12.2,Eucalyptus cullenii,84,
36.5,13.2,Terminalia aridicola subsp. chillagoensis,35,
42.3,25.9,Eucalyptus cullenii,54,
41.4,9.7,Eucalyptus cullenii,39.1,"half dead, resprouting"
43.5,26.6,Eucalyptus cullenii,56,
43.6,25.4,Eucalyptus cullenii,73,
47.4,13.5,Eucalyptus cullenii,38,"half dead, resprouting"
51.5,13.8,Eucalyptus cullenii,64.1,
52,14.8,Eucalyptus cullenii,56.7,
28.4,1.8,Eucalyptus cullenii,49,
28.9,2.4,Eucalyptus cullenii,59.1,
36.6,0.2,Eucalyptus cullenii,66,
45.1,4.5,Eucalyptus cullenii,57.1,
50.4,20.3,Eucalyptus cullenii,58,
51.4,0.5,Eucalyptus cullenii,74,
54.7,17.8,Eucalyptus cullenii,44.9,
58.5,22.5,Eucalyptus cullenii,55.2,
60,28.6,Eucalyptus cullenii,65.1,
59.8,7.8,Eucalyptus cullenii,73,
61.2,4.5,Eucalyptus cullenii,64.1,
64.5,20.5,Eucalyptus cullenii,56.2,
62.6,22.9,Eucalyptus cullenii,47.5,
62.8,25.7,Eucalyptus cullenii,73.2,
67.7,16.4,Eucalyptus cullenii,71.2,
73.4,16.1,Eucalyptus cullenii,69,
76.2,17.3,Eucalyptus cullenii,65,
75.2,3.8,Melaleuca stenostachya,49,
79.1,25,Eucalyptus cullenii,70.5,
79.7,20.7,Eucalyptus cullenii,64.9,
87.7,10.7,Eucalyptus cullenii,69.8,
87.5,13.5,Eucalyptus cullenii,86,
86.7,15.7,Eucalyptus cullenii,60.9,
90.7,19.1,Eucalyptus cullenii,91,"forked, part of next one"
90.7,19.1,Eucalyptus cullenii,94.1,"forked, part of previous one"
88.7,22.3,Eucalyptus cullenii,75.9,
88.7,23.6,Eucalyptus cullenii,51.2,
92.8,20.6,Melaleuca stenostachya,49.1,