tree_site_ID,tree_ID,species,mound,runway,termite,fire,fungi,bark damage
PNW-1,1,Eucalyptus cullenii,N,Y,N,Y,N,Y
STCK-1,1,Eucalyptus cullenii,N,Y,Y,N,N,N
PNW-4,4,Melaleuca stenostachya,N,Y,N,N,N,N
STCK-4,4,Corymbia clarksoniana,N,Y,N,N,N,N
PNW-9,9,Eucalyptus cullenii,N,Y,N,N,N,N
STCK-9,9,Corymbia clarksoniana,N,N,N,N,N,N
STCK-10,10,Corymbia clarksoniana,N,Y,N,N,Y,N
PNW-11,11,Melaleuca stenostachya,N,Y,N,N,N,N
STCK-11,11,Corymbia clarksoniana,N,Y,N,N,N,N
STCK-12,12,Corymbia clarksoniana,N,N,N,N,N,N
STCK-13,13,Corymbia clarksoniana,N,Y,N,Y,N,Y
STCK-16,16,Larsenaikia ochreata,N,Y,Y,N,N,N
PNW-17,17,Eucalyptus cullenii,N,Y,N,N,N,N
STCK-18,18,Corymbia clarksoniana,N,Y,N,N,N,N
PNW-20,20,Eucalyptus cullenii,N,Y,Y,N,N,N
PNW-21,21,Eucalyptus cullenii,N,Y,N,N,N,N
STCK-21,21,Corymbia clarksoniana,N,N,N,N,N,N
STCK-22,22,Larsenaikia ochreata,N,N,N,N,N,N
PNW-24,24,Eucalyptus cullenii,N,Y,N,N,N,N
STCK-25,25,Corymbia clarksoniana,N,Y,N,N,N,N
PNW-27,27,Eucalyptus cullenii,N,Y,N,N,N,N
STCK-27,27,Corymbia clarksoniana,N,Y,Y,N,N,N
PNW-29,29,Eucalyptus cullenii,N,Y,N,N,N,N
STCK-29,29,Eucalyptus cullenii,Y,Y,Y,N,N,N
STCK-30,30,Corymbia clarksoniana,N,Y,Y,N,N,Y
PNW-32,32,Eucalyptus cullenii,N,Y,N,N,N,N
STCK-32,32,Larsenaikia ochreata,N,Y,N,N,N,N
PNW-35,35,Eucalyptus cullenii,N,Y,N,N,N,N
STCK-36,36,Corymbia clarksoniana,N,Y,N,N,N,N
PNW-37,37,Eucalyptus cullenii,Y,Y,Y,Y,N,N
STCK-37,37,Eucalyptus cullenii,N,N,N,N,N,N
PNW-38,38,Eucalyptus cullenii,Y,Y,N,Y,N,N
STCK-38,38,Eucalyptus cullenii,N,Y,N,N,N,N
PNW-39,39,Melaleuca stenostachya,N,N,N,N,N,N
STCK-39,39,Eucalyptus cullenii,N,N,N,N,N,N
STCK-40,40,Corymbia clarksoniana,N,N,N,N,N,N
STCK-42,42,Larsenaikia ochreata,N,N,N,N,N,N
PNW-44,44,Eucalyptus cullenii,N,Y,Y,N,N,N
STCK-44,44,Larsenaikia ochreata,N,N,N,N,N,N
STCK-45,45,Larsenaikia ochreata,N,Y,N,N,N,N
PNW-46,46,Eucalyptus cullenii,N,Y,Y,Y,N,N
STCK-47,47,Eucalyptus cullenii,N,Y,Y,N,Y,N
PNW-48,48,Eucalyptus cullenii,N,Y,N,N,N,N
STCK-48,48,Corymbia clarksoniana,N,Y,Y,N,N,N
PNW-49,49,Melaleuca stenostachya,N,N,N,Y,N,N
PNW-GAR-1,GAR-1,Gardenia?,N,Y,N,N,N,N
PNW-MEL-1,MEL-1,Melaleuca stenostachya,N,Y,N,Y,N,N
PNW-MEL-2,MEL-2,Melaleuca stenostachya,N,N,N,N,N,N
PNW-MEL-3,MEL-3,Melaleuca stenostachya,N,N,N,N,N,N
PNW-MEL-4,MEL-4,Melaleuca stenostachya,N,N,N,N,N,N
PNW-MEL-5,MEL-5,Melaleuca stenostachya,N,N,N,N,N,N
PNW-MEL-6,MEL-6,Melaleuca stenostachya,N,N,N,N,N,N